ep     1 | eps 0.90 | return  -109.93 | HO   2.35 | HOF 68.20 | SE  2.05 | loss nan |      3s
ep  3475 | eps 0.10 | return   167.64 | HO   4.29 | HOF 17.91 | SE  2.41 | loss 0.0116 |  11214s
ep  3500 | eps 0.10 | return   169.90 | HO   4.30 | HOF 17.50 | SE  2.41 | loss 0.0117 |  11294s
ep  3525 | eps 0.10 | return   166.04 | HO   4.37 | HOF 17.94 | SE  2.41 | loss 0.0114 |  11373s
ep  3550 | eps 0.10 | return   170.16 | HO   4.29 | HOF 17.66 | SE  2.41 | loss 0.0113 |  11453s
ep  3575 | eps 0.10 | return   168.66 | HO   4.21 | HOF 17.67 | SE  2.41 | loss 0.0114 |  11533s
ep  3600 | eps 0.10 | return   168.49 | HO   4.30 | HOF 17.71 | SE  2.41 | loss 0.0115 |  11612s
ep  3625 | eps 0.10 | return   169.84 | HO   4.32 | HOF 17.46 | SE  2.41 | loss 0.0115 |  11692s
ep  3650 | eps 0.10 | return   170.86 | HO   4.18 | HOF 17.68 | SE  2.41 | loss 0.0110 |  11771s
ep  3675 | eps 0.10 | return   169.54 | HO   4.28 | HOF 17.56 | SE  2.41 | loss 0.0111 |  11851s
ep  3700 | eps 0.10 | return   167.19 | HO   4.23 | HOF 17.87 | SE  2.41 | loss 0.0112 |  11930s
ep  3725 | eps 0.10 | return   168.79 | HO   4.39 | HOF 17.49 | SE  2.41 | loss 0.0110 |  12010s
ep  3750 | eps 0.10 | return   165.62 | HO   4.26 | HOF 18.04 | SE  2.41 | loss 0.0111 |  12089s
ep  3775 | eps 0.10 | return   169.06 | HO   4.26 | HOF 17.63 | SE  2.41 | loss 0.0109 |  12169s
ep  3800 | eps 0.10 | return   169.13 | HO   4.25 | HOF 17.57 | SE  2.41 | loss 0.0108 |  12248s
ep  3825 | eps 0.10 | return   168.76 | HO   4.35 | HOF 17.61 | SE  2.41 | loss 0.0109 |  12327s
ep  3850 | eps 0.10 | return   167.39 | HO   4.34 | HOF 17.65 | SE  2.41 | loss 0.0108 |  12407s
ep  3875 | eps 0.10 | return   168.02 | HO   4.43 | HOF 17.49 | SE  2.41 | loss 0.0109 |  12487s
ep  3900 | eps 0.10 | return   169.23 | HO   4.39 | HOF 17.50 | SE  2.41 | loss 0.0108 |  12566s
ep  3925 | eps 0.10 | return   167.39 | HO   4.40 | HOF 17.81 | SE  2.41 | loss 0.0105 |  12646s
ep  3950 | eps 0.10 | return   168.22 | HO   4.36 | HOF 17.41 | SE  2.41 | loss 0.0105 |  12726s
ep  3975 | eps 0.10 | return   169.58 | HO   4.35 | HOF 17.46 | SE  2.41 | loss 0.0105 |  12805s
ep  4000 | eps 0.10 | return   166.16 | HO   4.37 | HOF 17.84 | SE  2.41 | loss 0.0104 |  12885s
